ItemID,ItemNo,Status,ReasonCode,status_code_id,status_date,FromLocationCode,FromLocationName,ToLocationCode,ToLocationName,CustAccNum
623,RX131683191SG,RP,,,2/1/2025 9:10,POBRB,Bras Basah,POBRB,Bras Basah,
624,RX131683205SG,RP,,,2/1/2025 9:10,POBRB,Bras Basah,POBRB,Bras Basah,
625,RX131683214SG,RP,,,2/1/2025 9:10,POBRB,Bras Basah,POBRB,Bras Basah,
626,RX131683687SG,RP,,,2/1/2025 11:21,POTGP,Tanjong Pagar,POTGP,Tanjong Pagar,
627,RX131683695SG,RP,,,2/1/2025 9:08,POKLR,Killiney Road,POKLR,Killiney Road,
628,RX131683735SG,RP,,,2/1/2025 9:10,POBRB,Bras Basah,POBRB,Bras Basah,
629,RX131684342SG,RP,,,2/1/2025 9:23,POCMW,Clementi West,POCMW,Clementi West,
630,RX131684373SG,RP,,,2/1/2025 9:23,POCMW,Clementi West,POCMW,Clementi West,
631,RX131684413SG,RP,,,2/1/2025 9:23,POCMW,Clementi West,POCMW,Clementi West,
632,RX131684427SG,RP,,,2/1/2025 9:06,POBRB,Bras Basah,POBRB,Bras Basah,
633,RX500070521SG,RP,,,2/1/2025 10:15,POSBD,Simpang Bedok,POSBD,Simpang Bedok,
634,RX500070549SG,RP,,,2/1/2025 10:15,POSBD,Simpang Bedok,POSBD,Simpang Bedok,
635,RX500071297SG,RP,,,2/1/2025 9:07,POBRB,Bras Basah,POBRB,Bras Basah,
636,RX500071306SG,RP,,,2/1/2025 10:51,POCSQ,City Square ,POCSQ,City Square ,
637,RX500071425SG,RP,,,2/1/2025 9:27,POGYE,Geylang East,POGYE,Geylang East,
638,RX500071425SG,PD,,,2/1/2025 12:52,PO045,POPStop Geylang East,PO045,POPStop Geylang East,
639,RX500071442SG,RP,,,2/1/2025 10:20,POGYL,Geylang,POGYL,Geylang,
640,RX500071487SG,RP,,,2/1/2025 9:36,POKTP,Katong,POKTP,Katong,
641,RX500071561SG,RP,,,2/1/2025 10:34,POPSR,Pasir Ris,POPSR,Pasir Ris,
642,RX500071601SG,RP,,,2/1/2025 11:20,POTNC,Tampines Central,POTNC,Tampines Central,
643,RX500071629SG,RP,,,2/1/2025 11:23,POTNC,Tampines Central,POTNC,Tampines Central,
644,RX500071632SG,RP,,,2/1/2025 11:20,POTNC,Tampines Central,POTNC,Tampines Central,
645,RX500071677SG,RP,,,2/1/2025 11:00,POHGC,Hougang Central,POHGC,Hougang Central,
646,RX500071685SG,RP,,,2/1/2025 11:00,POHGC,Hougang Central,POHGC,Hougang Central,
647,RX500071703SG,RP,,,2/1/2025 11:02,POSKC,Sengkang Central,POSKC,Sengkang Central,
648,RX500071748SG,RP,,,2/1/2025 10:50,POAKC,Ang Mo Kio Central,POAKC,Ang Mo Kio Central,
649,RX500071782SG,PL,,,2/1/2025 10:04,PO041,POPStop Bishan,PO041,POPStop Bishan,
650,RX500071782SG,RP,,,2/1/2025 10:06,POBSH,Bishan,POBSH,Bishan,
651,RX500071867SG,RP,,,2/1/2025 10:47,POBPJ,Bukit Panjang,POBPJ,Bukit Panjang,
652,RX500071875SG,RP,,,2/1/2025 10:47,POBPJ,Bukit Panjang,POBPJ,Bukit Panjang,
653,RX500071875SG,PD,,,2/1/2025 11:03,PO020,POPStop Bukit Panjang,PO020,POPStop Bukit Panjang,
654,RX500071941SG,RP,,,2/1/2025 10:00,POWDL,Woodlands Central,POWDL,Woodlands Central,
655,RX500072071SG,RP,,,2/1/2025 9:23,POCMW,Clementi West,POCMW,Clementi West,
656,RX500072099SG,RP,,,2/1/2025 10:51,POCSQ,City Square ,POCSQ,City Square ,
657,RX500072111SG,RP,,,2/1/2025 12:47,POTWR,Towner,POTWR,Towner,
658,RX500072125SG,RP,,,2/1/2025 10:20,POGYL,Geylang,POGYL,Geylang,
659,RX500072139SG,RP,,,2/1/2025 9:36,POKTP,Katong,POKTP,Katong,
660,RX500072187SG,RP,,,2/1/2025 10:50,POAKC,Ang Mo Kio Central,POAKC,Ang Mo Kio Central,
661,RX500072195SG,RP,,,2/1/2025 10:50,POAKC,Ang Mo Kio Central,POAKC,Ang Mo Kio Central,
662,RX500072200SG,RP,,,2/1/2025 10:50,POAKC,Ang Mo Kio Central,POAKC,Ang Mo Kio Central,
663,RX500072213SG,RP,,,2/1/2025 10:50,POAKC,Ang Mo Kio Central,POAKC,Ang Mo Kio Central,
664,RX500072227SG,RP,,,2/1/2025 10:51,POAKC,Ang Mo Kio Central,POAKC,Ang Mo Kio Central,
665,RX500072261SG,RP,,,2/1/2025 10:00,POWDL,Woodlands Central,POWDL,Woodlands Central,
666,RX500072275SG,RP,,,2/1/2025 10:00,POWDL,Woodlands Central,POWDL,Woodlands Central,
667,RX500072289SG,RP,,,2/1/2025 10:00,POWDL,Woodlands Central,POWDL,Woodlands Central,
668,RX500072292SG,RP,,,2/1/2025 10:00,POWDL,Woodlands Central,POWDL,Woodlands Central,
669,RX500072315SG,RP,,,2/1/2025 11:15,POPGL,Punggol,POPGL,Punggol,
670,RX500072315SG,PD,,,2/1/2025 13:47,PO002,POPStop Punggol,PO002,POPStop Punggol,
671,RY100096324SG,RP,,,2/1/2025 9:48,POSGL,Siglap,POSGL,Siglap,
672,RY100096338SG,RP,,,2/1/2025 12:11,POBBC,Bukit Batok Central,POBBC,Bukit Batok Central,
673,RY100096369SG,RP,,,2/1/2025 9:22,POMPR,MacPherson Road,POMPR,MacPherson Road,
674,RY100096412SG,RP,,,2/1/2025 11:02,POSKC,Sengkang Central,POSKC,Sengkang Central,
675,RY100096430SG,RP,,,2/1/2025 10:51,POHGC,Hougang Central,POHGC,Hougang Central,
676,RY100096528SG,RP,,,2/1/2025 10:35,POKLR,Killiney Road,POKLR,Killiney Road,
677,RY100096559SG,RP,,,2/1/2025 9:39,POSRC,Serangoon Central,POSRC,Serangoon Central,
678,RY100096562SG,RP,,,2/1/2025 9:22,POMPR,MacPherson Road,POMPR,MacPherson Road,
679,RY100096580SG,RP,,,2/1/2025 11:33,POPGL,Punggol,POPGL,Punggol,
680,RY100096593SG,RP,,,2/1/2025 11:19,POTNC,Tampines Central,POTNC,Tampines Central,
681,RY100096593SG,PD,,,2/1/2025 12:11,PO009,POPStop Tampines Central,PO009,POPStop Tampines Central,
682,RY100096647SG,RP,,,2/1/2025 10:12,POBMC,Bukit Merah Central,POBMC,Bukit Merah Central,
683,RY100096664SG,RP,,,2/1/2025 9:32,POGME,Ghim Moh Estate,POGME,Ghim Moh Estate,
684,RY100096718SG,RP,,,2/1/2025 9:32,POGME,Ghim Moh Estate,POGME,Ghim Moh Estate,
685,RY100096735SG,RP,,,2/1/2025 10:34,POPSR,Pasir Ris,POPSR,Pasir Ris,
686,RY100096749SG,PL,,,2/1/2025 10:04,PO041,POPStop Bishan,PO041,POPStop Bishan,
687,RY100096749SG,RP,,,2/1/2025 10:06,POBSH,Bishan,POBSH,Bishan,
688,RY468713218GB,RP,,,2/1/2025 9:36,POKTP,Katong,POKTP,Katong,
689,SNSG00563929757,CC,,,2/1/2025 14:19,,,,,
690,SNSG01034999222,AS,,,2/1/2025 12:41,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
691,SNSG01898890088,UA,,,2/1/2025 11:10,DBJRD,Jurong Town Delivery Base,DBJRD,Jurong Town Delivery Base,
692,SNSG01898890088,AS,,,2/1/2025 12:43,DBJRD,Jurong Town Delivery Base,DBJRD,Jurong Town Delivery Base,
693,SNSG02396772154,AS,,,2/1/2025 12:41,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
694,SNSG03393010250,UA,,,2/1/2025 9:00,DBPLD,Paya Lebar Delivery Base,DBPLD,Paya Lebar Delivery Base,
695,SNSG03393010250,DL,,,2/1/2025 9:42,DBPLD,Paya Lebar Delivery Base,DBPLD,Paya Lebar Delivery Base,
696,SNSG03393010250,CC,,,2/2/2025 0:53,,,,,
697,SNSG03857446017,AS,,,2/1/2025 12:10,DBTLD,Tanglin Delivery Base,DBTLD,Tanglin Delivery Base,
698,SNSG04836887756,AS,,,2/1/2025 12:13,DBTED,Telok Blangah Delivery Base,DBTED,Telok Blangah Delivery Base,
699,SNSG05823009031,AS,,,2/1/2025 12:41,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
700,SNSG05890527186,AS,,,2/1/2025 12:05,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
701,SNSG06361131319,AS,,,2/1/2025 12:59,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
702,SNSG06490681982,AS,,,2/1/2025 12:05,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
703,SNSG06652033679,AS,,,2/1/2025 12:59,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
704,SNSG06860910314,AS,,,2/1/2025 10:14,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
705,SNSG06877106417,AS,,,2/1/2025 12:14,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
706,SNSG08583632342,AS,,,2/1/2025 12:14,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
707,SNSG09261587139,AS,,,2/1/2025 12:05,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
708,SNSG10173241257,AS,,,2/1/2025 12:05,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
709,SNSG10260336555,AS,,,2/1/2025 12:10,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
710,SNSG11000098659,CC,,,2/1/2025 14:58,,,,,
711,SNSG11456448675,AS,,,2/1/2025 12:59,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
712,SNSG11842804903,AS,,,2/1/2025 10:14,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
713,SNSG11851567263,CC,,,2/1/2025 17:07,,,,,
714,SNSG12667267877,AS,,,2/1/2025 12:41,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
715,SNSG12933691743,AS,,,2/1/2025 12:41,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
716,SNSG14628745364,AS,,,2/1/2025 12:10,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
717,SNSG14701100645,AS,,,2/1/2025 12:59,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
718,SNSG16174232866,AS,,,2/1/2025 12:59,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
719,SNSG16258509647,AS,,,2/1/2025 11:54,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
720,SNSG16483629567,AS,,,2/1/2025 12:59,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
